Datetime,Longitude,Latitude,Pressure,Temperature
2019-06-02 13:28:07 CEST,-4.493155000,48.334846667,16.280,31.31087
2019-06-02 13:28:45 CEST,-4.493155000,48.334846667,16.271,30.92269
2019-06-02 13:29:23 CEST,-4.494915000,48.334791667,16.121,31.24236
2019-06-02 13:30:00 CEST,-4.497128333,48.334453333,15.752,31.02924
2019-06-02 13:30:38 CEST,-4.497128333,48.334453333,15.752,31.04446
2019-06-02 13:31:17 CEST,-4.498528333,48.334203333,15.746,31.09774
2019-06-02 13:32:04 CEST,-4.499491667,48.333986667,15.745,31.04446
2019-06-02 13:32:42 CEST,-4.499491667,48.333986667,15.740,31.06729
2019-06-02 13:33:19 CEST,-4.500740000,48.333761667,15.736,31.07491
2019-06-02 13:33:57 CEST,-4.500740000,48.333761667,15.725,31.08252
2019-06-02 13:34:34 CEST,-4.502390000,48.333518333,15.718,31.08252
2019-06-02 13:35:11 CEST,0,0,15.757,31.08252
2019-06-02 13:35:48 CEST,0,0,15.761,31.08252
2019-06-02 13:36:26 CEST,-4.505186667,48.333196667,15.770,31.09774
2019-06-02 13:37:07 CEST,-4.507151667,48.333078333,15.769,31.08252
2019-06-02 13:37:44 CEST,-4.507151667,48.333078333,15.749,31.04446
2019-06-02 13:38:22 CEST,-4.509215000,48.333431667,15.749,30.89986
2019-06-02 13:39:00 CEST,0,0,15.750,31.11296
2019-06-02 13:39:38 CEST,0,0,15.752,31.21191
2019-06-02 13:40:16 CEST,-4.513096667,48.334740000,15.742,31.21952
2019-06-02 13:40:54 CEST,-4.513096667,48.334740000,15.897,31.41745
2019-06-02 13:41:32 CEST,-4.514631667,48.335418333,16.183,31.43268
2019-06-02 13:42:11 CEST,-4.516866667,48.336273333,16.158,31.48597
2019-06-02 13:42:49 CEST,-4.516866667,48.336273333,16.161,31.45551
2019-06-02 13:43:27 CEST,-4.518691667,48.337035000,16.165,31.47074
2019-06-02 13:44:06 CEST,-4.517821667,48.336608333,16.184,31.44790
2019-06-02 13:44:48 CEST,-4.517821667,48.336608333,16.187,31.40222
2019-06-02 13:45:27 CEST,-4.516741667,48.335936667,16.186,31.36416
2019-06-02 13:46:06 CEST,-4.515145000,48.335253333,16.165,31.36416
2019-06-02 13:46:44 CEST,-4.515145000,48.335253333,16.154,31.40984
2019-06-02 13:47:23 CEST,-4.513273333,48.334770000,16.129,31.38700
2019-06-02 13:48:01 CEST,-4.511791667,48.334171667,16.073,31.17385
2019-06-02 13:48:39 CEST,-4.511791667,48.334171667,15.726,31.16624
2019-06-02 13:49:16 CEST,-4.510463333,48.333535000,15.744,31.19669
2019-06-02 13:49:54 CEST,-4.510463333,48.333535000,15.746,31.31848
2019-06-02 13:50:32 CEST,-4.508726667,48.332250000,15.759,17.73291
2019-06-02 13:51:10 CEST,-4.508076667,48.331566667,15.752,31.33371
2019-06-02 13:51:48 CEST,-4.508076667,48.331566667,15.767,31.35655
2019-06-02 13:52:26 CEST,0,0,15.781,31.35655
2019-06-02 13:53:04 CEST,-4.505558333,48.329238333,15.761,31.34132
